radius_deg,gamma_t,gamma_err,n_pairs
0.05192307692307692,0.0,0.0,0.0
0.09576923076923076,0.0,0.0,0.0
0.13961538461538459,0.0,0.0,0.0
0.18346153846153845,0.0,0.0,0.0
0.22730769230769227,0.0,0.0,0.0
0.2711538461538461,0.0,0.0,0.0
0.31499999999999995,0.0,0.0,0.0
0.3588461538461538,0.0,0.0,0.0
0.4026923076923077,0.011712494031614217,0.01149602497859021,681.0
0.4465384615384615,0.012014708209618277,0.007585826061362604,1564.0
0.4903846153846153,0.009002047928993744,0.006534102628035481,2108.0
0.5342307692307692,0.01150217501720421,0.005502966286852897,2972.0
0.578076923076923,0.004271095560209482,0.005177803730784977,3357.0
