model,H0,Om,eps0,Delta,beta,chi2,dchi2_vs_lcdm
lcdm,73.57547065324222,0.2530907782071075,0,0,0,948.505557022497,0.0
free,73.57532710939995,0.25309509685083564,4.4980664539910675e-10,0.6129777669624134,0.6969938756735432,948.5055580732545,-1.0507575325391372e-06
free_nosign,75.08779845434096,0.22595391403813933,-0.09778380959047794,0.3890103094010544,-1.999998803934315,909.3558312230324,39.14972579946459
prereg_phi3,73.4820667930872,0.2575119300960137,0.00278734065357504,0.48121182505960347,4.23606797749979,947.4715447494301,1.0340122730668782
prereg_invphi,73.52943705590249,0.2540428800031773,0.00278734065357504,0.48121182505960347,0.6180339887498948,950.7075619214095,-2.2020048989124916
