test,scale,E_GeV,predicted,observed,pct_err,k
A-strong,M_Z,91.1876,0.12165303892417849,0.118,3.0957956984563495,
A-strong,m_tau,1.77686,0.3256069047471335,0.33,-1.3312409857171303,
A-strong,m_b,4.18,0.2629134705943369,0.22,19.50612299742587,
A-strong,m_t,173.0,0.10365622364620702,0.09,15.17358182911892,
B-ladder,em,91.1876,0.02453887671148456,nan,nan,2.5201937705334636
B-ladder,weak,91.1876,0.10643384247416517,nan,nan,5.5692978320598465
B-ladder,strong,91.1876,0.37049620565256897,nan,nan,8.16133639776801
