N,sigma,k_nn,twist_frac_fib,twist_frac_raster,gap_median_fib,gap_median_raster,levels_fib,levels_raster
210,0.15,8,0.44734563681932105,0.44945054945054946,0.9314710689218506,0.9468580332517739,119,119
360,0.12,8,0.4465026307644692,0.4513243894048848,0.9538342294752289,0.9133150268466075,118,54
480,0.1,8,0.44558977035490605,0.4616883116883117,1.0438403169778274,1.0590643644424103,119,119
