generation,N,bands_fib,bands_periodic,occ_fib,occ_periodic
6,21,6,2,0.5001057353878714,0.6576032918107402
7,34,6,2,0.5779949419383241,0.6604408901794976
8,55,13,2,0.4570231675999648,0.6653386152208154
9,89,24,2,0.3582355553424983,0.6661592088532469
10,144,39,2,0.31918480865888343,0.6663144165445106
11,233,81,2,0.21320093927555814,0.6665926047243921
12,377,141,2,0.16980009106073454,0.66663837635932
13,610,213,2,0.16068784715048287,0.6666470201957281
14,987,359,2,0.13366506289774976,0.6666625391089958
