level,N,D_eff,r2
0,480,2.1718781642141103,0.9972346401772747
1,240,2.1960877292593564,0.9951194874434496
2,120,2.2482242579632468,0.9970798197896246
3,60,2.1761534428254734,0.9927841168489552
