fold_factor,gamma_min,tau_fold,tau_sheet,tau_void,g_eff_norm,g_sheet_over_void
1.0,0.0024090875896553153,1660.37964629269,33.16343747752632,33.163437477526365,1.0,0.9999999999999987
1.5,0.002140222820447234,1868.9642787586642,49.7451562162894,33.16343747752635,1.1256246623666484,1.4999999999999962
2.0,0.0019199334986751892,2083.405494388278,66.32687495505249,33.16343747752635,1.2547765801876238,1.9999999999999936
3.0,0.0015848676605556803,2523.870036314285,99.49031243257915,33.16343747752635,1.5200559955969128,3.0000000000000027
4.0,0.0013450191635189883,2973.9353226274916,132.6537499101058,33.16343747752637,1.7911176695448658,4.00000000000001
6.0,0.0010285145021820862,3889.104131748886,198.9806248651579,33.16343747752634,2.342298124668362,5.9999999999999964
8.0,0.0008308310758478733,4814.456411512955,265.30749982021047,33.163437477526344,2.8996117979780798,7.999999999999991
12.0,0.0005989604076327745,6678.237741637871,397.96124973031755,33.16343747752636,4.022114916036882,12.000000000000037
16.0,0.0004678536170834476,8549.68275106132,530.6149996404232,33.16343747752634,5.149233652767983,16.000000000000053
