size,indices,klein_d,euclid_d,euclid_klein_ratio,three_tangle,mean_pairwise_corr
3,"(97, 102, 115)",0.03238030731694924,1.0037336817529183,30.99827533840363,0.16587630376396395,-0.06880732306116644
3,"(0, 110, 123)",0.02763731078387875,0.8562049615001023,30.980038839362738,0.17621665022530292,-0.09294894401787804
3,"(84, 102, 115)",0.03688777424849383,0.9835028466834302,26.662027371401727,0.08883459030423704,-0.0014497202313734996
3,"(76, 89, 199)",0.0357086450823582,0.8725448879720391,24.435116089104106,0.3203661096748845,-0.05124938024207667
3,"(63, 81, 94)",0.028179451451641805,0.6796063401371312,24.11708905346827,0.19662530071625642,-0.02500304699384896
3,"(79, 120, 133)",0.03641498296524715,0.863309808585762,23.707543936232696,0.16676483458529742,-0.05296557610576273
3,"(66, 120, 133)",0.035938531648106994,0.8448475202877651,23.508125723112734,0.12020442023483667,-0.18837080763646633
3,"(63, 76, 81)",0.029963725508806174,0.691570340420582,23.08025216081135,0.3234883566363819,0.13127948983767534
3,"(84, 97, 115)",0.0294771696384234,0.6737382478279285,22.856273383510768,0.1688461160388976,0.22117846424575816
3,"(0, 89, 199)",0.048715067522252686,1.096399035062081,22.50636385880516,0.23948309755934377,-0.056648770044945174
3,"(118, 131, 136)",0.031456009362833846,0.7014394169919781,22.29905926403838,0.03741630482771052,-0.028798810844832066
3,"(63, 68, 81)",0.03129088059145881,0.6915400748406054,22.100371155082446,0.2378672947205598,0.13741576929390825
3,"(126, 139, 162)",0.029037573020663874,0.6285426751008384,21.645840534040207,0.12678669191425782,-0.03949150932974008
3,"(50, 63, 81)",0.03152876301609486,0.6811970935728233,21.605576255087602,0.19401162704915628,-0.08469120676344591
3,"(0, 102, 110)",0.04533653855353631,0.97001939608297,21.395973910480805,0.25173515401595753,0.0027147928651980124
3,"(118, 136, 149)",0.03149367406482994,0.6731757815617684,21.374952321410056,0.13196220627638558,0.012968636875668646
3,"(55, 186, 191)",0.039257734728211965,0.8300377905262151,21.143293067537115,0.38306235082887097,0.02225969921625289
4,"(0, 102, 110, 123)",0.04683163557878702,0.9817825579418608,20.964088608226433,0.11422513831631062,0.04487881040158357
4,"(0, 102, 110, 123)",0.04683163557878702,0.9817825579418608,20.964088608226433,0.32926172861839004,-0.025711995251800214
4,"(0, 102, 110, 123)",0.04683163557878702,0.9817825579418608,20.964088608226433,0.32464759292084944,0.08699742541896807
3,"(58, 71, 107)",0.029185168501224382,0.6083869911586434,20.84575907564557,0.11107306155321826,-0.10610108113654582
3,"(152, 157, 170)",0.033712230735891184,0.7013918887997986,20.8052648397744,0.18878753617427732,0.07145541507948949
3,"(8, 13, 144)",0.04035830708346202,0.8289948207630222,20.540872020440293,0.21650225745410132,-0.004029973516274104
4,"(0, 97, 102, 115)",0.047510737543899284,0.9635245907351299,20.28014382737894,0.09611830048029982,-0.09516226117613252
4,"(0, 97, 102, 115)",0.047510737543899284,0.9635245907351299,20.28014382737894,0.2637163553366351,0.057838642439056474
4,"(0, 97, 102, 115)",0.047510737543899284,0.9635245907351299,20.28014382737894,0.21919121439566808,-0.04960469586937133
3,"(0, 97, 102)",0.04760117724389579,0.9560310522120782,20.08418924837991,0.2632194906970053,-0.005811624102013745
3,"(16, 39, 52)",0.03230005566423615,0.6328285372437746,19.59218101114502,0.19984563366699248,-0.08514766377297155
3,"(48, 138, 151)",0.037354355459836515,0.7266812174844467,19.45372122042839,0.08876175089583409,-0.03826581825190797
3,"(37, 73, 86)",0.03154134973297065,0.6128070445672354,19.4286880477616,0.13146486943421426,-0.025945198535138436
