step,live_count,golden_fraction,entropy,structures
1,605,0.5355371900826447,21.043826909904677,67
6,480,0.7645833333333333,18.227290082401822,56
11,479,0.7661795407098121,18.19022957240235,56
16,479,0.7661795407098121,18.19022957240235,56
21,479,0.7661795407098121,18.19022957240235,56
26,479,0.7661795407098121,18.19022957240235,56
31,479,0.7661795407098121,18.19022957240235,56
36,479,0.7661795407098121,18.19022957240235,56
41,479,0.7661795407098121,18.19022957240235,56
46,479,0.7661795407098121,18.19022957240235,56
51,479,0.7661795407098121,18.19022957240235,56
56,479,0.7661795407098121,18.19022957240235,56
61,479,0.7661795407098121,18.19022957240235,56
66,479,0.7661795407098121,18.19022957240235,56
71,479,0.7661795407098121,18.19022957240235,56
76,479,0.7661795407098121,18.19022957240235,56
81,479,0.7661795407098121,18.19022957240235,56
86,479,0.7661795407098121,18.19022957240235,56
91,479,0.7661795407098121,18.19022957240235,56
96,479,0.7661795407098121,18.19022957240235,56
101,479,0.7661795407098121,18.19022957240235,56
106,479,0.7661795407098121,18.19022957240235,56
111,479,0.7661795407098121,18.19022957240235,56
116,479,0.7661795407098121,18.19022957240235,56
121,479,0.7661795407098121,18.19022957240235,56
126,479,0.7661795407098121,18.19022957240235,56
131,479,0.7661795407098121,18.19022957240235,56
136,479,0.7661795407098121,18.19022957240235,56
141,479,0.7661795407098121,18.19022957240235,56
146,479,0.7661795407098121,18.19022957240235,56
151,479,0.7661795407098121,18.19022957240235,56
156,479,0.7661795407098121,18.19022957240235,56
161,479,0.7661795407098121,18.19022957240235,56
166,479,0.7661795407098121,18.19022957240235,56
171,479,0.7661795407098121,18.19022957240235,56
176,479,0.7661795407098121,18.19022957240235,56
181,479,0.7661795407098121,18.19022957240235,56
186,479,0.7661795407098121,18.19022957240235,56
191,479,0.7661795407098121,18.19022957240235,56
196,479,0.7661795407098121,18.19022957240235,56
201,479,0.7661795407098121,18.19022957240235,56
206,479,0.7661795407098121,18.19022957240235,56
211,479,0.7661795407098121,18.19022957240235,56
216,479,0.7661795407098121,18.19022957240235,56
221,479,0.7661795407098121,18.19022957240235,56
226,479,0.7661795407098121,18.19022957240235,56
231,479,0.7661795407098121,18.19022957240235,56
236,479,0.7661795407098121,18.19022957240235,56
241,479,0.7661795407098121,18.19022957240235,56
246,479,0.7661795407098121,18.19022957240235,56
251,479,0.7661795407098121,18.19022957240235,56
256,479,0.7661795407098121,18.19022957240235,56
261,479,0.7661795407098121,18.19022957240235,56
266,479,0.7661795407098121,18.19022957240235,56
271,479,0.7661795407098121,18.19022957240235,56
276,479,0.7661795407098121,18.19022957240235,56
281,479,0.7661795407098121,18.19022957240235,56
286,479,0.7661795407098121,18.19022957240235,56
291,479,0.7661795407098121,18.19022957240235,56
296,479,0.7661795407098121,18.19022957240235,56
