step,total_info,mean_amp,entropy,twist_corr,patterns,up_frac,down_frac,zero_frac
1221,45297.5587994743,-0.30823651939068347,9.702290149982776,0.3543497768322613,1,0.0,0.0,0.0
1241,45304.47878601728,-0.3082304338056953,9.702310130972451,0.3627910266385402,1,0.0,0.0,0.0
1261,45304.42333970257,-0.30825461422197603,9.702288370816122,0.3692930394154183,1,0.0,0.0,0.0
1281,45305.81906775673,-0.30827540016051413,9.70228298534363,0.37630918482815084,1,0.0,0.0,0.0
1301,45309.75100909089,-0.30827896284596457,9.702289854938794,0.38298875828948087,1,0.0,0.0,0.0
1321,45313.69752562955,-0.30827874828122653,9.702310834851675,0.3877585190682209,1,0.0,0.0,0.0
1341,45320.64238806238,-0.3082783260967667,9.702343820967776,0.3937286265072507,1,0.0,0.0,0.0
1361,45323.0450463507,-0.30827024986288165,9.702339685480226,0.3981824429420664,1,0.0,0.0,0.0
1381,45327.17176958403,-0.3082984825286425,9.702352034218137,0.40270266816442296,1,0.0,0.0,0.0
1401,45327.34385452481,-0.3082920246077933,9.702354756293035,0.40707926311035886,1,0.0,0.0,0.0
1421,45334.42569712165,-0.3082988660462156,9.702389939923876,0.4155591778016547,1,0.0,0.0,0.0
1441,45352.97451712125,-0.30828866496817836,9.702487521753177,0.4169811745509986,1,0.0,0.0,0.0
1461,45354.809803111646,-0.3082928141759396,9.702494819574895,0.420226656656441,1,0.0,0.0,0.0
1481,45361.660571679924,-0.3083195166710985,9.702515351576015,0.4242474714775615,1,0.0,0.0,0.0
1501,45356.93937837822,-0.3083082495360255,9.702473214955237,0.4284717863827147,1,0.0,0.0,0.0
1521,45362.47249723977,-0.30832515873056904,9.70249594116116,0.43238827662447044,1,0.0,0.0,0.0
1541,45368.10473733218,-0.3083285268184454,9.702515019961059,0.43533488554230626,1,0.0,0.0,0.0
1561,45368.652279744645,-0.308344329882749,9.70250318935632,0.4400009938191688,1,0.0,0.0,0.0
1581,45367.742391731445,-0.30832154435886544,9.702489261716616,0.4421318824870823,1,0.0,0.0,0.0
1601,45380.16416660449,-0.3083428615980184,9.702537308199467,0.44658424730162094,1,0.0,0.0,0.0
1621,45380.72545776704,-0.3083407184814941,9.702526363465084,0.4491110482484808,1,0.0,0.0,0.0
1641,45388.590291212226,-0.3083686591925597,9.702563592189982,0.45288252732838996,1,0.0,0.0,0.0
1661,45395.06259466311,-0.3083729033700084,9.702582637099745,0.45562635940529944,1,0.0,0.0,0.0
1681,45400.87155255342,-0.30838114477769046,9.70259018927171,0.45998940772358937,1,0.0,0.0,0.0
1701,45408.07721433262,-0.30837575850378635,9.702619949867014,0.4612841112893365,1,0.0,0.0,0.0
1721,45420.083188567776,-0.308369584689195,9.7026646830898,0.4636651446505743,1,0.0,0.0,0.0
1741,45430.57670702275,-0.30836567410214366,9.702710905050722,0.4672759176762865,1,0.0,0.0,0.0
1761,45444.158203273844,-0.30841089035351205,9.702754666628268,0.47030828006755976,1,0.0,0.0,0.0
1781,45458.72686888174,-0.3084326254675747,9.702773382999336,0.47502240864823103,1,0.0,0.0,0.0
1801,45452.11425999724,-0.3084203218424719,9.702747700648999,0.476365522118263,1,0.0,0.0,0.0
1821,45462.1144427568,-0.30843217201982226,9.702791116594359,0.4805351250198231,1,0.0,0.0,0.0
1841,45465.04378269282,-0.3084242388107849,9.702802501888309,0.48180493896277854,1,0.0,0.0,0.0
1861,45466.25062141745,-0.3084227564728437,9.702805660236233,0.48441983231901325,1,0.0,0.0,0.0
1881,45465.26402014767,-0.30842673706479146,9.70279567127685,0.4872765466027693,1,0.0,0.0,0.0
1901,45462.06338886712,-0.3084320005918246,9.702776246321488,0.48929815750865197,1,0.0,0.0,0.0
1921,45462.444341206785,-0.3084541160880591,9.702781309046625,0.49136168078645687,1,0.0,0.0,0.0
1941,45465.565450558104,-0.30845286284981627,9.702796910985812,0.49627658902778354,1,0.0,0.0,0.0
1961,45469.49612884456,-0.3084504311854103,9.702804599058128,0.4965513850289522,1,0.0,0.0,0.0
1981,45468.63194909382,-0.308427222892853,9.702813618988856,0.49745096222149787,1,0.0,0.0,0.0
2001,45476.22154252193,-0.3084367466309063,9.702839589474525,0.49783823795776155,1,0.0,0.0,0.0
2021,45472.897226701505,-0.30843214524576573,9.702829659233007,0.49941360137610774,1,0.0,0.0,0.0
2041,45479.598092394546,-0.3084472554295734,9.702852374374391,0.502801289743884,1,0.0,0.0,0.0
2061,45480.65406353955,-0.30845077843126195,9.702854950601562,0.505213121368711,1,0.0,0.0,0.0
2081,45480.42815802024,-0.30845660349901177,9.702844194381509,0.5062001784994019,1,0.0,0.0,0.0
2101,45479.65347270544,-0.30845854771894593,9.702838737456272,0.5089499405132774,1,0.0,0.0,0.0
2121,45477.056600279655,-0.3084532220497059,9.702815822632342,0.5100364003825921,1,0.0,0.0,0.0
2141,45475.89971308725,-0.3084425780643925,9.702808729285959,0.5107488057117751,1,0.0,0.0,0.0
2161,45480.29475035115,-0.3084666841485781,9.702821377744153,0.5124620703458792,1,0.0,0.0,0.0
2181,45480.890162892305,-0.3084512572829147,9.70282622363011,0.5170779305328659,1,0.0,0.0,0.0
2201,45485.5022863975,-0.3084668698110196,9.702847430274318,0.5181986222742723,1,0.0,0.0,0.0
2221,45488.71975278377,-0.30845615195696346,9.702871329266587,0.520020592034943,1,0.0,0.0,0.0
2241,45492.079001744685,-0.30846628134410786,9.702888683799355,0.5239095581217119,1,0.0,0.0,0.0
2261,45492.29446215536,-0.30845930985784004,9.702889305674898,0.5282128676193452,1,0.0,0.0,0.0
2281,45493.86719942962,-0.308458938989895,9.702891991090466,0.5290291593154798,1,0.0,0.0,0.0
2301,45494.54336574054,-0.30846697331862155,9.702887156030483,0.5317343478805666,1,0.0,0.0,0.0
2321,45488.64681154974,-0.3084629916122883,9.702857044496112,0.5318895380105447,1,0.0,0.0,0.0
2341,45486.920908694025,-0.30844813381261665,9.70284157965159,0.5353030486014457,1,0.0,0.0,0.0
2361,45491.31902960586,-0.30847844916253614,9.7028494563808,0.5378697583054652,1,0.0,0.0,0.0
2381,45492.91707686211,-0.30846300690587863,9.702866275214168,0.5403773943973919,1,0.0,0.0,0.0
2401,45492.89227276748,-0.3084465303917103,9.702864741166458,0.5411616631919419,1,0.0,0.0,0.0
2421,45499.569562037046,-0.3084681252751215,9.702890706300114,0.5430032178155755,1,0.0,0.0,0.0
2441,45498.70523902208,-0.30844573937712494,9.70289169966257,0.5479932759914388,1,0.0,0.0,0.0
2461,45501.94780594922,-0.3084421259655233,9.702904108932751,0.5484428356287836,1,0.0,0.0,0.0
2481,45504.95836864541,-0.30847045677629253,9.702922735843313,0.5513281723634528,1,0.0,0.0,0.0
2501,45508.90282015066,-0.30847426703615155,9.702943737426455,0.553781365126458,1,0.0,0.0,0.0
2521,45506.94233127321,-0.308491940362746,9.702933092279874,0.5552512046700022,1,0.0,0.0,0.0
2541,45504.83176934367,-0.308462656625875,9.70291435415819,0.5562120124637873,1,0.0,0.0,0.0
2561,45504.98114602236,-0.30849870067885005,9.702913916552928,0.5578593728529875,1,0.0,0.0,0.0
2581,45503.05033229962,-0.30849355120068284,9.702895802193053,0.559244371543226,1,0.0,0.0,0.0
2601,45500.94576917327,-0.308478493931541,9.702889499814376,0.5595241875603475,1,0.0,0.0,0.0
2621,45507.316409153194,-0.30849890250549156,9.702914945126789,0.5623330340425616,1,0.0,0.0,0.0
2641,45506.95883156142,-0.30851301578001905,9.7029099662168,0.5623165239591865,1,0.0,0.0,0.0
2661,45508.1721000637,-0.3084946887843993,9.702914145114875,0.5647447359226533,1,0.0,0.0,0.0
2681,45515.45435928256,-0.3084987264996933,9.70294262890556,0.5688340011791206,1,0.0,0.0,0.0
2701,45516.87409874119,-0.3084887577415008,9.702962935886056,0.5697651943590694,1,0.0,0.0,0.0
2721,45517.81667607286,-0.3084909373500127,9.702954353163012,0.5721562730020446,1,0.0,0.0,0.0
2741,45516.80290538086,-0.3084846247146193,9.70294413618433,0.5735445349956367,1,0.0,0.0,0.0
2761,45514.929045747,-0.30850875161949837,9.702933032351986,0.578369798994222,1,0.0,0.0,0.0
2781,45513.40306509297,-0.3085014353162251,9.702927773932482,0.581103267391427,1,0.0,0.0,0.0
2801,45518.645853462134,-0.30851159502825326,9.70295407273926,0.5836409227727966,1,0.0,0.0,0.0
2821,45525.12351902031,-0.30851469085296,9.702980780932375,0.588003413464018,1,0.0,0.0,0.0
2841,45527.369435562534,-0.30851461367693706,9.70299484124407,0.589411333673806,1,0.0,0.0,0.0
2861,45525.331372401415,-0.30850793281666616,9.702981701059478,0.5913637357250234,1,0.0,0.0,0.0
2881,45524.976617781824,-0.30848729596849317,9.702976422637395,0.5914142475353896,1,0.0,0.0,0.0
2901,45526.0322574733,-0.30848641029133034,9.702976532895356,0.5951420862445501,1,0.0,0.0,0.0
2921,45522.40235373885,-0.308478036766853,9.702950588593154,0.5966817129774378,1,0.0,0.0,0.0
2941,45519.45687403865,-0.30849963624479626,9.702928948414176,0.6013938888892275,1,0.0,0.0,0.0
2961,45521.61896631034,-0.3085128618595083,9.70293447940191,0.6053656879863674,1,0.0,0.0,0.0
2981,45523.82349979515,-0.30851706887848906,9.702953433633928,0.6127463347441675,1,0.0,0.0,0.0
