ensemble,N,sigma,avg_degree,D_eff,r2
Fibonacci (golden),128,0.04,6.1875,1.1110733127281014,0.9037814834635218
Fibonacci (golden),128,0.04857778234120918,7.0,1.1027754658914806,0.8997467734485641
Fibonacci (golden),128,0.058995023429747336,9.203125,1.098755392860351,0.8971800616936728
Fibonacci (golden),128,0.07164618518462003,11.8125,1.0970958121016925,0.8952033875912992
Fibonacci (golden),128,0.08701031973691091,14.171875,1.0978655270644149,0.8936706878116587
Fibonacci (golden),128,0.10566920934046685,17.671875,1.101790300440341,0.8926063467206496
Fibonacci (golden),128,0.12832939628772164,21.171875,1.109748584689886,0.8919132324592377
Fibonacci (golden),128,0.15584893702109293,26.59375,1.123741799633852,0.8913834672559944
Fibonacci (golden),128,0.18926989351798668,31.84375,1.146870704242204,0.890841486127234
Fibonacci (golden),128,0.2298577922765148,39.046875,1.1842325876629538,0.8901447906719533
Fibonacci (golden),128,0.2791495450659851,47.890625,1.2437996842683998,0.8891984328528248
Fibonacci (golden),128,0.3390116460215746,58.46875,1.3396945898792427,0.8879031875695099
Fibonacci (golden),128,0.41171084878927744,70.953125,1.4979739372889138,0.8859069270834706
Fibonacci (golden),128,0.5,86.609375,1.7690542604923587,0.8820499202443336
Rational (1/5),128,0.04,11.78125,1.269490415129617,0.8890322048660547
Rational (1/5),128,0.04857778234120918,13.171875,0.9363979415256473,0.937147087062635
Rational (1/5),128,0.058995023429747336,15.3125,0.7443088776916925,0.8062193237521295
Rational (1/5),128,0.07164618518462003,17.828125,0.6845767499983892,0.7274014152253935
Rational (1/5),128,0.08701031973691091,20.34375,0.7015024901168204,0.7127159727187231
Rational (1/5),128,0.10566920934046685,23.046875,0.7586977003185474,0.7066297518724355
Rational (1/5),128,0.12832939628772164,24.609375,0.869591345697348,0.7054395305094023
Rational (1/5),128,0.15584893702109293,24.609375,1.0922750352210193,0.7040696186489244
Rational (1/5),128,0.18926989351798668,26.5,0.12175259989034695,0.7929987047232078
Rational (1/5),128,0.2298577922765148,33.296875,0.17899084682791572,0.7934651681515658
Rational (1/5),128,0.2791495450659851,44.734375,0.25507356533916997,0.7942656805435007
Rational (1/5),128,0.3390116460215746,63.71875,0.3692972775522743,0.7962236335903032
Rational (1/5),128,0.41171084878927744,75.8125,0.5550281417940663,0.8037723189085739
Rational (1/5),128,0.5,80.359375,0.8768579464036984,0.8151290502868718
Random,128,0.04,7.328125,0.7211348654883935,0.9793664144724105
Random,128,0.04857778234120918,8.71875,0.5180498977984107,0.9853641426795969
Random,128,0.058995023429747336,10.65625,0.4811051062177971,0.9708396203944752
Random,128,0.07164618518462003,12.484375,0.606130563021276,0.9616731489154515
Random,128,0.08701031973691091,15.015625,0.6650542358183307,0.9020731293734249
Random,128,0.10566920934046685,18.34375,0.8150472334833604,0.9639961373796881
Random,128,0.12832939628772164,22.59375,1.0787069632384325,0.9797730915027114
Random,128,0.15584893702109293,27.03125,1.2365608169476852,0.9441933234674861
Random,128,0.18926989351798668,33.015625,1.331188769561116,0.9603847619982757
Random,128,0.2298577922765148,40.03125,1.3879706314871931,0.9777548715394236
Random,128,0.2791495450659851,47.96875,1.443145944237001,0.983752163550597
Random,128,0.3390116460215746,58.390625,1.5385431594063017,0.9839886317285161
Random,128,0.41171084878927744,70.859375,1.7429245104560331,0.9796742585399151
Random,128,0.5,86.75,2.2324431801224156,0.945060810028881
