i,j,weight
8,31,0.127918472284896
8,32,0.14783724001869264
8,33,0.12828746074143926
8,34,0.1153010534741143
8,35,0.12599231087795587
8,36,0.1420371896359125
8,37,0.11830148540371088
8,38,0.1311403642406981
8,39,0.060928090276289815
8,60,0.056274656708035914
8,62,0.06052334190627051
9,27,0.05116516966823436
9,28,0.04772706647391079
9,29,0.056767850623805106
9,30,0.05906736544083621
9,31,0.052566442992335184
9,32,0.060815440462034076
9,33,0.05272700586885987
9,34,0.047337361293648114
9,35,0.051728286376080165
9,36,0.058296870743669925
9,37,0.04838168708318856
9,38,0.05357036074659544
9,39,0.04952620787566132
9,60,0.05057375790951339
9,62,0.05432786955203455
9,63,0.047106801733653114
10,27,0.04426664710927919
10,28,0.041404363109627744
10,29,0.049353243024597176
10,30,0.05144209358545814
10,31,0.045780786067735876
10,32,0.053015595878948205
10,33,0.045926521748081504
10,35,0.045020028825495016
10,36,0.05074298221837675
10,37,0.04199920640729833
10,38,0.046447022149999476
10,39,0.04278643913498733
10,60,0.047221361406623384
10,61,0.042214733406961656
10,62,0.05066030753469557
10,63,0.043986425813691
11,27,0.04743357038526024
11,28,0.04445370221456125
11,29,0.053036502299452115
11,30,0.05534299499379176
11,31,0.04928936994678851
11,32,0.05708806438157337
11,33,0.04944959988674094
11,35,0.04845295042238038
11,36,0.054567663320646685
11,37,0.045113254526069034
11,38,0.04983886902024412
11,39,0.04579046931504543
11,60,0.05239768463907926
11,61,0.04688243036094698
11,62,0.05619715421506377
11,63,0.04883272586378698
12,27,0.05181264846138792
12,29,0.058283174203374546
12,30,0.06093853962114112
12,31,0.054304815203288254
12,32,0.06293881302394333
12,33,0.054488437594560755
12,35,0.05334628329700434
12,36,0.06004981911521341
12,37,0.04951899495882574
12,38,0.05458881859426902
12,39,0.04992715534195638
12,59,0.050265103331198505
12,60,0.06137288306037877
12,61,0.05494136055075537
12,62,0.06572192553056072
12,63,0.057174301985770885
13,29,0.04622637657165641
13,30,0.04853572559548257
13,31,0.04329985073909008
13,32,0.0502753417530413
13,33,0.0434594766200883
13,35,0.04246658288371395
13,36,0.04776281364179471
13,38,0.04301867922541099
13,56,0.04590792455144095
13,57,0.043370589367123895
13,58,0.04082098277663997
13,59,0.046865151126526845
13,60,0.05686851300434504
13,61,0.050917296507805514
13,62,0.06063531903881599
13,63,0.052852192003440705
14,29,0.05006114765052327
