dim,N,D_eff,coherence,amplification
2,144,1.8921968646549312,0.9999890906564685,1.7316984999596907
3,1000,2.506714616277969,0.9999998848631781,1.7320472774954074
4,4096,2.262987519010204,0.9999999988233796,1.7320507720388632
5,16807,2.0764052117820015,0.9999999999881408,1.7320508072116287
