bin,z_eff,theta_BAO_deg,theta_err,theta_LCDM,theta_IST,DA_measured,DA_LCDM,DA_IST
1,0.3,0.6999999999999998,0.5,9.172769524758099,9.501237885522578,12039.4802979704,918.7668114665216,887.0040209624485
2,0.45,0.6999999999999998,0.5,7.09415932878809,7.318737542110512,12039.4802979704,1187.9682733343668,1151.515020191446
3,0.6,0.6999999999999998,0.5,6.111492728467046,6.280551770191873,12039.4802979704,1378.9816306781725,1341.8623899539662
4,0.75,0.6999999999999998,0.5,5.56795659048375,5.7018031986132405,12039.4802979704,1513.5958895554318,1478.0650813463712
5,0.9,0.6999999999999998,0.5,5.244247914763084,5.353683243733957,12039.4802979704,1607.0247527495103,1574.175352724338
6,1.1,0.6999999999999998,0.5,4.999185012466879,5.085890220127229,12039.4802979704,1685.8020232423064,1657.0621550632789
