D_eff,r2,avg_degree,coherence,magnification,n_layers,n_oscillators,golden_fraction
1.0591184256214674,0.9199176801921312,6.281447140306609,0.0,1.0,0,200,0.0
1.1801339666117532,0.9483837583188054,7.429182982707546,1.0449033241465023e-74,1.618033988749895,1,240,0.16666666666666666
1.1970774417024317,0.9545497999060878,8.624307128849724,1.293003281524591e-60,2.618033988749895,2,280,0.2857142857142857
1.1368361615848857,0.9356135054905292,9.935468479041893,9.907701732124794e-41,4.23606797749979,3,320,0.375
1.1538305220730372,0.9395513859649823,11.205040862743706,3.673354796964278e-22,6.854101966249686,4,360,0.4444444444444444
1.184662232232294,0.9504973656372483,12.785444543308738,1.6442883002193314e-10,11.090169943749476,5,400,0.5
1.1427129618194207,0.941315061537473,15.259931914451883,7.059295302370572e-05,17.944271909999163,6,440,0.5454545454545454
1.1920470411486386,0.9759455387651228,19.78466354116326,0.011981795978301882,29.03444185374864,7,480,0.5833333333333334
1.20814855637554,0.9892837592836402,29.090498937033537,0.10302886277170341,46.978713763747805,8,520,0.6153846153846154
1.2071417932899593,0.9930167010805068,46.45227637974496,0.26461390398923096,76.01315561749645,9,560,0.6428571428571429
1.2057695455830753,0.992620305250319,74.91611210280854,0.4268055562669525,122.99186938124426,10,600,0.6666666666666666
1.1984571186821706,0.991092150861092,119.10978208378303,0.5755887873161039,199.0050249987407,11,640,0.6875
1.1921041587108718,0.9893799541308405,184.10509279553918,0.687781466680778,321.996894379985,12,680,0.7058823529411765
1.1866274299705548,0.9879478261562397,270.81387256580086,0.7912274427392293,521.0019193787257,13,720,0.7222222222222222
1.181887579495951,0.9867788487015527,369.7033536266868,0.8698289173773391,842.9988137587108,14,760,0.7368421052631579
1.177784691805209,0.9858123301906788,476.3980963145568,0.9145035535512447,1364.0007331374366,15,800,0.75
1.1742064027234032,0.9850030928453297,591.5080571863314,0.9369519707588781,2206.9995468961474,16,840,0.7619047619047619
