D_eff,r2,avg_degree,coherence,magnification,n_layers,n_oscillators,golden_fraction,lambda_min
2.357756307459981,0.9870431955084785,11.935545517089226,0.0,1.0,0,120,0.0,-4.0419056990259605e-16
1.8123883941566954,0.9383806562931828,14.560065179546582,5.339036936886604e-05,1.618033988749895,1,145,0.1724137931034483,0.06560271722863693
1.8897933302201662,0.8944284937394844,17.916030749479948,0.04402181208242345,2.618033988749895,2,170,0.29411764705882354,0.13625671008881762
1.8926018957314297,0.9302346036407284,21.64456889087105,0.07111057793523554,4.23606797749979,3,195,0.38461538461538464,0.19113375815099706
2.453957389671929,0.9276317564613086,26.610142151620494,0.12776890921078202,6.854101966249686,4,220,0.45454545454545453,0.27829304578892616
2.8126189052155754,0.9828393385611578,35.062086267368166,0.18825730533846244,11.090169943749476,5,245,0.5102040816326531,0.4050002081677119
2.76605190277191,0.9729057218163616,46.01024144426013,0.2324339287217072,17.944271909999163,6,270,0.5555555555555556,0.5124671870276515
3.2462001118139887,0.9817509742579856,60.01515740369693,0.2730823656646643,29.03444185374864,7,295,0.5932203389830508,0.7535878899831934
3.0238521215421152,0.9512647829295484,79.38981418284291,0.34160184781183317,46.978713763747805,8,320,0.625,0.6932311387707575
2.7512020686195178,0.9021228308044396,103.58654503513237,0.40655799727137987,76.01315561749645,9,345,0.6521739130434783,0.9631798612136812
2.353710973401784,0.9241514605816921,134.22093206749213,0.47331303650998496,122.99186938124426,10,370,0.6756756756756757,0.8171875662946705
2.1381065114452307,0.958045081857489,176.6126291651071,0.5418733280947216,199.0050249987407,11,395,0.6962025316455697,1.1469414961775035
2.788298579852771,0.9014860948893784,235.3580626429627,0.6351304580524368,321.996894379985,12,420,0.7142857142857143,1.0940475730996466
