model,c1_ratio,c2_ratio,delta_n_surface,accumulated_phase_rad,decoupling_radius_Rstar,vr_energy_keV
QED,1.0,1.0,0.0019234234480751506,46787477389.109055,136.1525958963244,3.0
"IST (ii) c2=0, c1~QED",1.0,0.0,-0.002564564597433534,-62383303185.478745,144.2160755940715,3.0
"IST (i) c2=0, c1=52.3x",52.34309396767234,0.0,-0.13423724570962925,-3265335100651.307,318.26255969123923,0.4146594427827118
