theta,derived_npar,canonical_npar,derived_nperp,canonical_nperp,ratio_derived,ratio_canonical,onshell_invariant
0.2,6.538947323784723e-07,6.538947323784723e-07,3.7365413278769847e-07,3.7365413278769847e-07,1.75,1.75,0.0
0.6,5.281937620356184e-06,5.281937620356184e-06,3.0182500687749624e-06,3.0182500687749624e-06,1.75,1.75,0.0
1.0,1.173071468275719e-05,1.173071468275719e-05,6.703265533004109e-06,6.703265533004109e-06,1.75,1.75,0.0
1.3,1.5381619759503433e-05,1.5381619759503433e-05,8.789497005430534e-06,8.789497005430534e-06,1.75,1.75,0.0
