time,from_topo,to_topo,gradient
0.05,sphere,klein_bottle,1.9774668727639253
10.050000000000008,klein_bottle,sphere,0.0
20.05000000000015,sphere,klein_bottle,0.9887333431094735
30.050000000000292,klein_bottle,sphere,0.00035256516808976584
40.04999999999986,sphere,klein_bottle,0.9885434403214143
50.049999999999294,klein_bottle,sphere,0.0007051180158472224
60.049999999998725,sphere,klein_bottle,0.9883533509883767
70.04999999999816,klein_bottle,sphere,0.0010519721555438122
80.0499999999976,sphere,klein_bottle,0.9881634482003175
90.04999999999703,klein_bottle,sphere,0.0013988140557522717
100.04999999999646,sphere,klein_bottle,0.98797335886728
110.04999999999589,klein_bottle,sphere,0.001734271552275735
120.04999999999532,sphere,klein_bottle,0.9877834560792208
130.04999999999532,klein_bottle,sphere,0.0020640314333457777
140.0499999999976,sphere,klein_bottle,0.9875933667461831
150.04999999999987,klein_bottle,sphere,0.0023880935840195436
160.05000000000214,sphere,klein_bottle,0.9874032774131456
170.05000000000442,klein_bottle,sphere,0.002712144182582582
180.0500000000067,sphere,klein_bottle,0.9872133746250864
190.05000000000896,klein_bottle,sphere,0.003036183455839283
200.05000000001124,sphere,klein_bottle,0.9870232852920489
210.0500000000135,klein_bottle,sphere,0.0033545258298414756
220.05000000001579,sphere,klein_bottle,0.9868332892315005
230.05000000001806,klein_bottle,sphere,0.0036728570575876554
240.05000000002033,sphere,klein_bottle,0.9866432931709521
250.0500000000226,klein_bottle,sphere,0.003974120937690462
260.05000000002485,sphere,klein_bottle,0.9864532038379145
270.0500000000271,klein_bottle,sphere,0.004281059731721045
280.0500000000294,sphere,klein_bottle,0.9862633010498553
290.0500000000317,klein_bottle,sphere,0.004565246475836845
300.05000000003395,sphere,klein_bottle,0.9860732117168177
310.0500000000362,klein_bottle,sphere,0.004855108491181627
320.0500000000385,sphere,klein_bottle,0.9858833089287585
330.05000000004077,klein_bottle,sphere,0.0051392751902653
340.05000000004304,sphere,klein_bottle,0.985693219595721
350.0500000000453,klein_bottle,sphere,0.005423432174598133
360.0500000000476,sphere,klein_bottle,0.9855032235351726
370.05000000004986,klein_bottle,sphere,0.005713263905128156
380.05000000005214,sphere,klein_bottle,0.9853132274746242
390.0500000000544,klein_bottle,sphere,0.0059917159580490835
390.0500000000544,sphere,klein_bottle,0.9851231381415866
390.0500000000544,klein_bottle,sphere,0.006275842310141731
390.0500000000544,sphere,klein_bottle,0.9849332353535274
390.0500000000544,klein_bottle,sphere,0.006548590040183242
390.0500000000544,sphere,klein_bottle,0.9847431460204898
390.0500000000544,klein_bottle,sphere,0.006832696637378473
390.0500000000544,sphere,klein_bottle,0.9845531499599415
390.0500000000544,klein_bottle,sphere,0.007122478540754567
390.0500000000544,sphere,klein_bottle,0.9843631538993931
390.0500000000544,klein_bottle,sphere,0.007395196988433444
390.0500000000544,sphere,klein_bottle,0.9841731578388447
390.0500000000544,klein_bottle,sphere,0.007673590885438533
390.0500000000544,sphere,klein_bottle,0.9839831617782964
390.0500000000544,klein_bottle,sphere,0.007946289384597691
390.0500000000544,sphere,klein_bottle,0.9837930724452587
390.0500000000544,klein_bottle,sphere,0.00821897963248519
390.0500000000544,sphere,klein_bottle,0.9836030763847103
390.0500000000544,klein_bottle,sphere,0.008485975647705226
390.0500000000544,sphere,klein_bottle,0.983413080324162
390.0500000000544,klein_bottle,sphere,0.008752962984490164
390.0500000000544,sphere,klein_bottle,0.9832229909911244
390.0500000000544,klein_bottle,sphere,0.009008573210554333
390.0500000000544,sphere,klein_bottle,0.9830330882030652
390.0500000000544,klein_bottle,sphere,0.009269858343834899
390.0500000000544,sphere,klein_bottle,0.9828429988700276
390.0500000000544,klein_bottle,sphere,0.009536817072645483
390.0500000000544,sphere,klein_bottle,0.9826530028094792
390.0500000000544,klein_bottle,sphere,0.009786716615147142
390.0500000000544,sphere,klein_bottle,0.9824630067489308
390.0500000000544,klein_bottle,sphere,0.010047974239512706
390.0500000000544,sphere,klein_bottle,0.9822729174158933
390.0500000000544,klein_bottle,sphere,0.010297855939386901
390.0500000000544,sphere,klein_bottle,0.9820830146278341
390.0500000000544,klein_bottle,sphere,0.010553412269629506
390.0500000000544,sphere,klein_bottle,0.9818929252947965
390.0500000000544,klein_bottle,sphere,0.010803275613774534
390.0500000000544,sphere,klein_bottle,0.9817029292342481
390.0500000000544,klein_bottle,sphere,0.011047448636119792
390.0500000000544,sphere,klein_bottle,0.981513026446189
390.0500000000544,klein_bottle,sphere,0.011297296109029933
390.0500000000544,sphere,klein_bottle,0.9813229371131513
390.0500000000544,klein_bottle,sphere,0.011535768948276695
390.0500000000544,sphere,klein_bottle,0.981132941052603
390.0500000000544,klein_bottle,sphere,0.011774232809574472
390.0500000000544,sphere,klein_bottle,0.9809428517195654
390.0500000000544,klein_bottle,sphere,0.012012689584163407
390.0500000000544,sphere,klein_bottle,0.9807529489315062
390.0500000000544,klein_bottle,sphere,0.01226250185674415
390.0500000000544,sphere,klein_bottle,0.9805628595984687
390.0500000000544,klein_bottle,sphere,0.012500940277296188
390.0500000000544,sphere,klein_bottle,0.9803729568104095
390.0500000000544,klein_bottle,sphere,0.012739371930158994
390.0500000000544,sphere,klein_bottle,0.9801828674773718
390.0500000000544,klein_bottle,sphere,0.01297211205595031
390.0500000000544,sphere,klein_bottle,0.9799927781443343
390.0500000000544,klein_bottle,sphere,0.013199162564145958
390.0500000000544,sphere,klein_bottle,0.9798028753562751
390.0500000000544,klein_bottle,sphere,0.01343188526231391
