step,outgoing_current
190,1046.2325343794619
191,1052.0715605698258
192,1059.551557270113
193,1063.1469398920574
194,1069.6824189158901
195,1072.7740500596663
196,1077.757836268726
197,1082.676110923836
198,1088.9201471729223
199,1095.3083394507926
200,1100.4858417663445
201,1105.0818924191844
202,1108.2921674959177
203,1113.526288463217
204,1119.560303228123
205,1122.3919130607335
206,1126.7309894243556
207,1132.258314529265
208,1138.6032991190998
209,1143.27557312356
210,1146.3084691650552
211,1151.06015068943
212,1155.7699681458196
213,1160.6090653596177
214,1164.1345770886376
215,1168.5858306897858
216,1172.5905962636236
217,1178.1495148234853
218,1182.6711539234163
219,1187.887760749519
220,1192.582070216363
221,1197.4389501290145
222,1202.866143632427
223,1209.2756746564762
224,1215.5456769102695
225,1221.241111882611
226,1226.6641456277935
227,1229.8860006785148
228,1233.3893490445564
229,1239.2172485396866
230,1243.7688081149138
231,1249.137910550599
232,1251.650771201292
233,1258.4507948560413
234,1262.4980444817365
235,1268.5046791247205
236,1271.9279362599648
237,1277.6519953506363
238,1282.7050767479902
239,1286.6171505604655
240,1290.8733502956354
241,1296.0958175324574
242,1301.1477746411183
243,1303.6333940171498
244,1307.9466910049102
245,1311.5904825576781
246,1316.500408965567
247,1320.4408763265294
248,1325.3261968878146
249,1332.2731195576284
250,1338.366492183478
251,1344.05115756688
252,1349.6376515514828
253,1353.126530770278
254,1359.4521562782923
255,1363.2042076828307
256,1366.4739607553843
257,1373.6423239291923
258,1378.010772923723
259,1383.142165170821
260,1385.7147022932916
261,1391.685075315996
262,1397.1208811859779
263,1403.2914901585682
264,1408.9135528332633
265,1412.4943235705236
266,1415.3619550014591
267,1419.0322837542335
268,1423.8080053090687
269,1427.4298900205417
270,1432.2829270794869
271,1437.6072153188204
272,1442.407263156398
273,1450.943730675966
274,1456.092703514951
275,1461.4296657261673
276,1466.3542618143815
277,1471.067758967419
278,1475.8116700363628
279,1479.4248012289602
280,1483.230753083751
281,1488.1353319115135
282,1492.1569848625425
283,1497.2069791581378
284,1502.4886981453167
285,1505.598466475474
286,1508.4194139804865
287,1512.7433062150174
288,1517.6776349607835
289,1522.7886944243066
290,1527.9625804859504
291,1531.5359176817312
292,1537.2712278174085
293,1542.1808805841529
294,1546.4853465118902
295,1551.1737497681497
296,1555.4252809934324
297,1558.4607180932273
298,1564.0820088597432
299,1566.7575765199094
