step,outgoing_current
0,66.33470879295686
1,82.84893732320938
2,102.46987446812379
3,112.17865530909886
4,121.58520355944177
5,127.51003637412589
6,131.14004109679277
7,136.43445208290038
8,147.89802513542384
9,157.68792731253393
10,164.2980290038664
11,168.2795868654083
12,170.98781958271965
13,177.51945698241144
14,182.4149336100952
15,185.41429804019805
16,190.2239924077923
17,193.40084820244428
18,200.35693478870303
19,206.40494553077872
20,209.60530757416146
21,216.39018504315297
22,219.98486418499098
23,222.86526560852212
24,225.16773975603303
25,227.4211304971592
26,231.57888702183152
27,234.1882537319371
28,239.0921272152656
29,247.82498594093752
30,250.74610396759388
31,255.02586715278235
32,259.60579367878836
33,262.74607556892073
34,268.02207361997074
35,272.9146703377937
36,277.3370258379469
37,281.6439170163129
38,285.95597127267587
39,290.09554460386903
40,294.22660628025665
41,298.199869232386
42,304.21619885973087
43,310.2469966349209
44,316.2397421743319
45,322.3625390276812
46,325.85074318161634
47,330.71516842812366
48,335.7578292760795
49,341.28185562517314
50,344.1996403846773
51,349.3206351130284
52,356.35577112376006
53,363.044322605279
54,366.6717392818953
55,372.3820116720979
56,380.22125655929875
57,385.3157005900834
58,388.0816603850871
59,392.60209364197084
60,396.6012289487343
61,402.7603165213763
62,408.1911837141981
63,411.1588230191894
64,415.1101769631094
65,418.910192439326
66,425.1835423534946
67,428.9407390391413
68,432.85680748142454
69,436.58165582979785
70,441.63313997680467
71,444.98221200184315
72,450.43251688526965
73,453.9813539918864
74,461.5857684509733
75,466.1147169234055
76,472.23341141095443
77,476.5734861969701
78,483.2980985414577
79,488.5387439788698
80,492.6980516693848
81,497.5801653420417
82,501.3326026615992
83,504.59239780052985
84,509.495758390146
85,513.759495748512
86,517.9159759182728
87,522.2404523345431
88,528.3982574888352
89,531.7379770467148
90,538.531007128832
91,543.9427085946874
92,551.2435624692905
93,555.0256535343044
94,559.5819978500094
95,563.8712176348424
96,567.4969596612048
97,571.6375599961569
98,576.7517270522762
99,581.2519416955618
100,586.3113328087575
101,589.8151504513295
102,596.9201343937335
103,600.979610664353
104,607.7532297528545
105,612.5144650171533
106,619.2224548096124
107,624.0774765127892
108,630.1645843735275
109,635.2518932937209
110,640.3825777393919
111,644.1325028438501
112,647.5475203403878
113,651.2721791314592
114,656.4909205334963
115,661.9693026832504
116,666.5136267742959
117,670.0829722903901
118,674.4189098545182
119,679.8404522530356
120,684.667981677603
121,691.0544241524431
122,696.3250062930231
123,699.9861250416509
124,704.8855343024726
125,708.8505882570975
126,714.1091066412243
127,718.531041363248
128,724.6168189767927
129,729.3574795978282
130,733.5182966528461
131,739.8368642716678
132,743.8987005428321
133,749.3271259719128
134,756.1008982029439
135,760.6322633412144
136,765.9595135863988
137,772.1643378179764
138,778.3418932122846
139,783.9386721794962
140,789.1256029142562
141,793.597234051277
142,798.0472369958491
143,802.753601939186
144,808.0596678354536
145,814.127349099769
146,819.3533836338004
147,826.5397061759724
148,830.8399714174202
149,836.3172369680378
150,842.8007985293583
151,849.4093560759878
152,855.1208074193339
153,859.4940780174821
154,862.036263491987
155,870.5390488474172
156,874.1367971522855
157,879.7095015586325
158,886.2284098177871
159,893.4059913294955
160,897.9948529094518
161,904.0846241458321
162,908.5083808068274
163,912.9032602652765
164,916.2109212289312
165,921.0056179058822
166,925.8388171732554
167,930.5465384865349
168,938.7273843483752
169,943.1720695239469
170,947.9169686111624
171,954.3451228840607
172,960.9198802630274
173,965.7621095551738
174,971.078550080178
175,975.2880978996222
176,978.4864371162591
177,985.1517003630776
178,991.5518832509873
179,996.6834220447846
180,1000.6866249353138
181,1005.57562806682
182,1011.0644040014082
183,1016.7980331438089
184,1020.8091870670048
185,1028.1644929223128
186,1032.9648631040368
187,1035.4830579924947
188,1039.4737994582829
189,1042.7576284543554
