mass,compact_dimensions,rho_mean
10.005,1,0.5034158825874329
11.005000000000157,6,1.0
12.005000000000313,6,1.0
13.00500000000047,6,1.0
14.005000000000626,6,1.0
15.005000000000782,6,1.0
16.005000000000937,6,1.0
17.005000000000738,6,1.0
18.00500000000054,6,1.0
19.00500000000034,6,1.0
20.00500000000014,6,1.0
21.004999999999942,6,1.0
22.004999999999743,6,1.0
23.004999999999544,6,1.0
24.004999999999345,6,1.0
25.004999999999146,6,1.0
26.004999999998947,6,1.0
27.00499999999875,6,1.0
28.00499999999855,6,1.0
29.00499999999835,6,1.0
30.00499999999815,6,1.0
31.004999999997953,6,1.0
32.00499999999776,6,1.0
33.00499999999827,6,1.0
34.00499999999878,6,1.0
35.00499999999929,6,1.0
36.004999999999804,6,1.0
37.005000000000315,6,1.0
38.00500000000083,6,1.0
39.00500000000134,6,1.0
40.00000000000185,6,1.0
40.00000000000185,6,1.0
40.00000000000185,6,1.0
40.00000000000185,6,1.0
40.00000000000185,6,1.0
40.00000000000185,6,1.0
40.00000000000185,6,1.0
40.00000000000185,6,1.0
40.00000000000185,6,1.0
40.00000000000185,6,1.0
