topology,twist_param,radius,n_steps,initial_entropy,final_entropy,entropy_ratio,final_info_density,total_leakage,elapsed_seconds,steps_per_second
sphere,0.0,10.0,1000,2.3994831938434372e+72,2.3994831938434372e+72,1.0,0.5,0.0,0.17729854583740234,5640.204183722319
torus,0.0,10.0,1000,1.256369271899266e+72,1.256369271899266e+72,1.0,0.5,0.0,0.03512001037597656,28473.79568782925
klein_bottle,0.5,10.0,1000,5.467505622273261e+71,5.467505622273261e+71,1.0,0.5,0.0,0.03761458396911621,26585.432948588743
klein_bottle,1.0,10.0,1000,1.1299662365823949e+72,1.1299662365823949e+72,1.0,0.5,0.0,0.03493618965148926,28623.613793479966
klein_bottle,2.0,10.0,1000,3.0234508755920374e+72,3.0234508755920374e+72,1.0,0.5,0.0,0.043085575103759766,23209.624046836438
