mass_target,n_patches,n_pairs,I_BH,M_base,dM_assoc,M_total,dM_per_pair
5,7,98,68.92901598681377,32188478718.337955,85039997.49443841,32273518715.832394,867755.0764738614
10,10,200,275.4353424878231,128622823538.39885,173551015.29477227,128796374553.69362,867755.0764738614
20,16,512,631.9828028220836,295123391909.2328,444290599.154617,295567682508.3874,867755.0764738614
30,22,968,1233.0405603427298,575805403098.0533,839986914.0266978,576645390012.0801,867755.0764738614
50,34,2312,2976.57966313242,1390003466152.8372,2006249736.8075674,1392009715889.6448,867755.0764738614
100,64,8192,10618.82868786689,4958781673286.437,7108649586.473872,4965890322872.91,867755.0764738614
