time,gradient,topology,mass,rho_mean
0.05,0.0,sphere,10.005,0.5034158825874329
10.050000000000008,0.0,klein_bottle,11.005000000000157,1.0
20.05000000000015,0.0,klein_bottle,12.005000000000313,1.0
30.050000000000292,0.0,klein_bottle,13.00500000000047,1.0
40.04999999999986,0.0,klein_bottle,14.005000000000626,1.0
50.049999999999294,0.0,klein_bottle,15.005000000000782,1.0
60.049999999998725,0.0,klein_bottle,16.005000000000937,1.0
70.04999999999816,0.0,klein_bottle,17.005000000000738,1.0
80.0499999999976,0.0,klein_bottle,18.00500000000054,1.0
90.04999999999703,0.0,klein_bottle,19.00500000000034,1.0
100.04999999999646,0.0,klein_bottle,20.00500000000014,1.0
110.04999999999589,0.0,klein_bottle,21.004999999999942,1.0
120.04999999999532,0.0,klein_bottle,22.004999999999743,1.0
130.04999999999532,0.0,klein_bottle,23.004999999999544,1.0
140.0499999999976,0.0,klein_bottle,24.004999999999345,1.0
150.04999999999987,0.0,klein_bottle,25.004999999999146,1.0
160.05000000000214,0.0,klein_bottle,26.004999999998947,1.0
170.05000000000442,0.0,klein_bottle,27.00499999999875,1.0
180.0500000000067,0.0,klein_bottle,28.00499999999855,1.0
190.05000000000896,0.0,klein_bottle,29.00499999999835,1.0
200.05000000001124,0.0,klein_bottle,30.00499999999815,1.0
210.0500000000135,0.9761451014188842,klein_bottle,29.999999999997915,0.9965599179267883
220.05000000001579,0.02973025910740746,sphere,30.002499999997678,0.9982452392578125
230.05000000001806,0.4597273015981919,klein_bottle,30.00499999999744,0.9999316334724426
240.05000000002033,0.9190224173886817,klein_bottle,29.999999999997204,0.9964958429336548
250.0500000000226,0.05011453953080151,sphere,30.002499999996967,0.9981846809387207
260.05000000002485,0.44131338030056105,klein_bottle,30.00499999999673,0.9998741745948792
270.0500000000271,0.8525178267574389,klein_bottle,29.999999999996493,0.9964407086372375
280.0500000000294,0.062317719693835476,sphere,30.002499999996257,0.9981315732002258
290.0500000000317,0.4229505455571708,klein_bottle,30.00499999999602,0.9998231530189514
300.05000000003395,0.786274399096022,sphere,29.999999999995783,0.9963918924331665
310.0500000000362,0.07701227651603933,sphere,30.002499999995546,0.9980847239494324
320.0500000000385,1.7332763247120286,klein_bottle,30.00499999999531,0.999778151512146
330.05000000004077,0.7261114982795779,sphere,29.999999999995072,0.9963482618331909
340.05000000004304,0.08646042938065701,sphere,30.002499999994836,0.9980421662330627
350.0500000000453,1.6762722832881185,klein_bottle,30.0049999999946,0.9997361898422241
360.0500000000476,0.6695350645825132,sphere,29.999999999994362,0.9963067770004272
370.05000000004986,0.0959216106530251,sphere,30.002499999994125,0.9980018734931946
380.05000000005214,1.6234009593167256,klein_bottle,30.00499999999389,0.9996972680091858
390.0500000000544,0.6194191032152733,sphere,29.99999999999365,0.9962692260742188
