N_samples,mean_associator,stderr,error_vs_1_over_phi2
100,0.31020624036057076,0.031023295580893246,0.07175977088953434
300,0.38924108645937366,0.019910653930076513,0.007275075209268567
1000,0.37856218462764596,0.010711713043435713,0.0034038266224591385
3000,0.3787424934271674,0.00627947767553789,0.0032235178229376715
10000,0.37943723551320746,0.0034893907860653727,0.002528775736897637
30000,0.38321393400004394,0.0020233342467936483,0.0012479227499388457
100000,0.3840701158221257,0.0011096315535309073,0.002104104572020593
