level,suppression,ratio_to_previous
1,0.3819660112501051,1.0
2,0.1458980337503154,0.3819660112501051
3,0.05572809000084118,0.38196601125010504
4,0.02128623625220817,0.3819660112501051
5,0.008130618755783341,0.3819660112501051
