step,single_strand_concentration
1,1.0
2,0.990232904206285
3,0.9742740208671183
4,0.952544271870107
5,0.9255857119645127
6,0.894039283461896
7,0.8586194338720113
8,0.820086980585802
9,0.7792216564700798
10,0.7367957244677097
11,0.6935499128335231
12,0.6501727078494128
13,0.6072837667725082
14,0.5654219043358886
15,0.5250377878472293
16,0.48649117509137146
17,0.45005226909803503
18,0.41590656224770467
19,0.38416240998866474
20,0.3548605147642061
21,0.32798450940408824
22,0.30347189594144003
23,0.28122470610698586
24,0.26111938714570937
25,0.24301556472345473
26,0.22676347904730565
27,0.21221001952767896
28,0.19920338970433807
29,0.18759651385848844
30,0.1772493492128428
31,0.16803029499887667
32,0.15981689585647782
33,0.15249602688731753
34,0.1459637262902475
35,0.14012481360575044
36,0.1348924012202351
37,0.13018737706772437
38,0.12593790961908768
39,0.12207900360307077
40,0.11855211706156905
41,0.11530483733822484
42,0.11229060506834782
43,0.1094684705648702
44,0.10680286544295924
45,0.10426337313259236
46,0.1018244843728701
47,0.09946532722627413
48,0.09716936506213746
49,0.09492405991347833
50,0.09272050229366685
51,0.09055301174870108
52,0.08841871497926983
53,0.08631711022465403
54,0.08424962774284638
55,0.08221919667542468
56,0.0802298284108242
57,0.07828622583774793
58,0.07639342670893448
59,0.0745564878208932
60,0.07278021496768672
61,0.07106894175546137
62,0.06942635847287812
63,0.06785539039539672
64,0.06635812324056568
65,0.06493577205398518
66,0.06358868864127384
67,0.06231640180187306
68,0.061117684079254796
69,0.05999063851502316
70,0.05893279896178775
71,0.05794123783866612
72,0.05701267576096912
73,0.056143588192591055
74,0.055330305103407314
75,0.054569100512393866
76,0.05385626971124867
77,0.05318819284954245
78,0.05256138438451811
79,0.05197252862831672
80,0.05141850224267463
81,0.05089638502406174
82,0.05040346068615086
83,0.04993720958300748
84,0.04949529543215151
85,0.04907554810225236
86,0.04867594443906595
87,0.04829458893050861
88,0.04792969577372277
89,0.04757957362020913
90,0.04724261395606523
91,0.046917283739050304
92,0.04660212257775786
93,0.046295744414727086
94,0.04599684337764487
95,0.045704203202110105
96,0.045416709415162695
97,0.04513336330824903
98,0.04485329662653432
99,0.04457578586097726
100,0.044300265050216156
101,0.044026336078237395
102,0.04375377558554746
103,0.043482537788265226
104,0.0432127527112209
105,0.04294471957619676
106,0.04267889533222532
107,0.04241587855833725
108,0.04215638919759293
109,0.04190124478291996
110,0.0416513339801622
111,0.041407588393991036
112,0.04117095365276106
113,0.04094236080673425
114,0.040722699041058456
115,0.040512790624031285
116,0.04031336888863291
117,0.04012505988928838
118,0.03994836819605384
119,0.039783667095497216
120,0.039631193272220956
121,0.039491045857504556
122,0.039363189561107764
123,0.0392474614564589
124,0.03914358087393414
125,0.03905116177525844
126,0.03896972693561034
127,0.038898723248107045
128,0.03883753748546183
129,0.03878551190170795
130,0.038741959127811226
131,0.038706175902894144
132,0.03867745528152721
133,0.038655097061094275
134,0.0386384162760403
135,0.03862674970302696
136,0.03861946040873016
137,0.03861594044731799
138,0.03861561187570142
139,0.03861792630062307
140,0.03862236320261754
141,0.03862842729869009
142,0.03863564520966224
143,0.038643561691378336
144,0.0386517356734448
145,0.03865973632703317
146,0.03866713935657876
147,0.03867352368082345
148,0.038678468638163474
149,0.03868155182093929
150,0.03868234761406607
151,0.038680426485857865
152,0.03867535505336782
153,0.0386666969211578
154,0.03865401427106953
155,0.03863687016116524
156,0.03861483147438413
157,0.03858747244150949
158,0.0385543786487271
159,0.03851515142744459
160,0.03846941251331529
161,0.03841680885284113
162,0.0383570174298631
163,0.03828974998105927
164,0.03821475746961788
165,0.03813183418983373
166,0.038040821382673264
167,0.037941610253408434
168,0.03783414429709619
169,0.03771842085565586
170,0.037594491851066836
171,0.037462463662099786
172,0.03732249613619564
173,0.037174800752714024
174,0.037019637977838665
175,0.03685731387400893
176,0.03668817604696375
177,0.03651260903056992
178,0.036331029222938314
179,0.03614387949647577
180,0.03595162360924055
181,0.035754740545240075
182,0.03555371890730303
183,0.03534905147823938
184,0.035141230054680256
185,0.034930740643912536
186,0.034718059097906914
187,0.034503647241352374
188,0.03428794953261527
189,0.03407139027887215
190,0.03385437140987389
191,0.033637270799453105
192,0.03342044111043039
193,0.033204209127331685
194,0.03298887553248754
195,0.032774715074715306
196,0.032561977075834886
197,0.032350886218591716
198,0.03214164355992671
199,0.031934427715653524
200,0.03172939616615361
