N,single_strand_twist,dual_mode_twist,shared_group_velocity,electron_twist
210,0.44734563681932105,0.0,1.000000000139778,0.446
360,0.4465026307644692,0.0,1.000000000139778,0.446
480,0.44558977035490605,0.0,1.000000000139778,0.446
