beta,chi2
0.1,960.9656969179082
0.12742749857031338,960.7236634853837
0.16237767391887217,960.4131362893199
0.20691380811147897,960.0139153607159
0.26366508987303583,959.4992654048108
0.33598182862837817,958.8333668802127
0.42813323987193935,957.967424874529
0.5455594781168519,956.8334376563985
0.6951927961775606,955.3336372818789
0.8858667904100825,953.3214508609364
1.1288378916846888,950.5651315885669
1.438449888287663,946.6766748559411
1.8329807108324356,940.9922007832803
2.3357214690901213,932.7524037455988
2.9763514416313175,928.501659063615
3.79269019073225,926.3709338643672
4.832930238571752,929.9778240207257
6.158482110660261,954.1251489206567
7.847599703514611,1072.3479673382978
10.0,1688.2551190165857
