model,H0,Om,eps0,Delta,beta,chi2,dchi2
LCDM,73.57665761461067,0.2530736198251866,0,0,0,948.4031368284288,0
powerlaw_beta_fixed,71.41680454392812,0.28319787984911327,0.06273213467087246,2.2060811445846378,3.8896224468011216,926.2955479061303,22.107588922298532
powerlaw_beta_free,71.5831314996372,0.28155034573476234,0.056242477820515946,2.1325598408945923,4.1546050511283035,926.1276197190969,22.275517109331986
fixed_eps0,73.49704751091735,0.2539506030255138,0.00278734063494341,4.21204518476519,0,948.2009788133399,0.20215801508891218
