basis,entropy
thread/sheet,1.3862943669502166
random_0,1.3862945599284129
random_1,1.3862943669502166
random_2,1.3862943669502166
random_3,1.3862943669502166
random_4,1.3862945599284129
random_5,1.3862945599284129
random_6,1.3862945599284129
random_7,1.3862945599284129
random_8,1.3862945599284129
random_9,1.3862945599284129
