tick,n_alive,mean_amp,golden_frac,entropy,amp_median
1,398,0.3979920181019827,0.038521303258145366,5.9508026212026275,0.4020182316188211
101,400,0.9819339338463883,0.038521303258145366,5.990810947094042,0.9912467863655352
201,400,0.9817331337628397,0.038521303258145366,5.99071945749875,0.9911025156993793
301,400,0.9821601808472891,0.038521303258145366,5.990826272662984,0.9915614861219069
401,400,0.9821766313469618,0.038521303258145366,5.990859769298986,0.9912224587627357
501,400,0.9819265369000337,0.038521303258145366,5.99073564994608,0.99134841582624
601,400,0.9821889155830433,0.038521303258145366,5.990879007914682,0.9910141086888609
701,400,0.9817430658136374,0.038521303258145366,5.990709557157432,0.9915023362078972
801,400,0.9820559663822661,0.038521303258145366,5.990830587256661,0.9911873518678801
901,400,0.981832579287758,0.038521303258145366,5.990739272255939,0.9912564336825392
1001,400,0.981734967888168,0.038521303258145366,5.9907477332217285,0.991178094951366
1101,400,0.9820383471389101,0.038521303258145366,5.990811277389388,0.9912300477675965
