d,G,E_int
1.0,0.07957747154594767,-1.5456467419138788e-07
2.0,0.039788735772973836,-7.728233709569394e-08
3.0,0.026525823848649224,-5.152155806379596e-08
4.0,0.019894367886486918,-3.864116854784697e-08
5.0,0.015915494309189534,-3.091293483827758e-08
8.0,0.009947183943243459,-1.9320584273923485e-08
