d,E_int,dEdd,F,attracts
1.0,-1.5456467419138788e-07,1.5456467419138788e-07,-1.5456467419138788e-07,True
2.0,-7.728233709569394e-08,3.864116854784697e-08,-3.864116854784697e-08,True
3.0,-5.152155806379596e-08,1.7173852687931987e-08,-1.7173852687931987e-08,True
4.0,-3.864116854784697e-08,9.660292136961742e-09,-9.660292136961742e-09,True
5.0,-3.091293483827758e-08,6.182586967655515e-09,-6.182586967655515e-09,True
8.0,-1.9320584273923485e-08,2.4150730342404356e-09,-2.4150730342404356e-09,True
10.0,-1.545646741913879e-08,1.5456467419138787e-09,-1.5456467419138787e-09,True
