radius,gap_ratio
1,0.3301231511147979
1,2.9903694533443783
1,0.3430435994504661
1,3.8272657346517254
1,0.7714497671127546
1,0.3174758691227169
1,2.990369453344552
1,1.6559626131188219
1,0.04787970900133789
1,16.334140320194297
1,0.7116175359409614
1,1.5997520362665074
1,0.21209749489686533
1,2.9903694533442153
1,0.20504444926133183
1,7.076115296387911
1,1.0912545375733163
1,0.45010225822262495
1,0.7902298665975479
1,4.174139706619691
1,0.607350028455192
1,0.07136167264224344
1,2.975671005860606
1,2.9903694533434733
1,0.8431080336066691
1,0.9641167526714705
2,0.3241507389204018
2,2.9673414546866153
2,0.358020352069395
2,3.55388703975578
2,0.8039433410162794
2,0.2919589619399849
2,2.9673414546865025
2,1.6303842412576288
2,0.13256585107538424
2,5.6243141165749
2,0.6383750120900948
2,2.168682055025041
2,0.16107882165348117
2,2.8021515053050057
2,0.05895111276769722
2,29.28693158553386
2,1.2667336215407632
2,0.06898965158311372
2,7.03672506988235
2,1.706564409390278
2,0.921203198019722
2,0.5747897263420743
2,0.26194592809480705
2,1.7388881807149257
2,0.7064590395150887
2,3.938209819336036
3,0.31524059284524647
3,2.9330291109755646
3,0.3812142768886829
3,3.1769812808877487
3,0.8567385659138657
3,0.2552308467113794
3,2.933029110975452
3,1.5923248985711895
3,0.28273067140822783
3,2.4119644832694465
3,0.5001743708103835
3,3.7291587616291557
3,0.10172865167688434
3,0.9636579107354132
3,2.043641398364194
3,2.371485518357786
3,1.3057540878513667
3,0.5309061582867618
3,0.797058974038922
3,0.5072435192240425
3,4.397807331689417
3,0.33720778213507674
3,1.8905810096420772
3,0.09269871674432424
3,1.0498140093839514
3,2.0522923066321663
3,0.42914783702821463
4,0.30345054740086064
4,2.8877055294537968
4,0.41359665131596557
4,2.728635404634363
4,0.9361312565578402
4,0.2089501562498634
4,2.8877055294538545
4,1.542151117334884
4,0.5434383790455118
4,1.0562869829002504
4,0.2162002460669519
4,10.876339402654567
4,0.23146165095075702
4,0.23216363382084773
4,2.8877055294555163
4,0.9084904124027692
4,0.12310585361086221
4,1.454731065445906
4,2.2072966877632525
4,1.2075644843975044
4,0.22598888187789756
4,3.1195210666109077
4,1.4877579789895714
4,0.4688398764556777
4,0.7070660062628653
4,0.4407077384868895
4,2.8890811215792453
