Space,Gap_Ratio,Target,Match
Linear (Bare Mass),0.027509864094695306,0.38196601125010515,FAIL
Linear (Running Mass),0.027509864094695302,0.38196601125010515,FAIL
Koide (Sqrt Mass),0.08436265535256021,0.38196601125010515,FAIL
