injection,divergence_deg
0,179.2213637286376
1,165.18895778938577
2,165.57899752990954
3,148.17080391859628
4,158.38109703376574
5,149.6900239734548
6,164.294855512301
7,159.4233676611026
8,166.90409119814075
9,168.6044636104619
10,170.87052943992057
11,172.03398660863758
12,176.0708754881224
13,177.61473331852608
14,165.20460437119561
15,115.3081294399691
16,163.93884501579572
17,162.42484811681328
18,176.45816739658733
19,177.85763807315482
20,166.38418553447084
21,143.38805089345334
22,152.2060499215561
23,153.98151668675806
24,166.718028614574
25,163.5139278766704
26,166.91816031195071
27,161.0718337021081
28,154.82228723148006
29,146.2727347069547
30,152.60336270821048
31,158.07200015707832
32,163.66982851219876
33,159.81293522894305
34,157.28628392495315
35,150.64157333329757
36,152.66520172721764
37,151.67690773052493
38,159.63882401449882
39,159.04536120975834
40,159.23891161201573
41,155.24182646116682
42,154.18653629177766
43,151.9745690301225
44,156.63184569072155
45,158.8039713829507
46,158.476163357291
47,155.5746682446304
48,156.90126409937326
49,153.75666949427205
50,154.91612699388435
51,156.5340940855479
52,158.76526849724667
53,157.72180915300865
54,156.54573885452896
55,156.15496608797255
56,156.3370424480687
57,156.72369808532505
58,155.3236742613883
59,154.00501716914184
60,153.82232607632625
61,154.12570495477183
62,155.4722969422309
63,154.254043320003
64,154.95924410086724
65,153.72681855988276
66,154.69804256731828
67,153.64050923930074
68,155.02917262138325
69,155.76454771453152
70,154.76541344710824
71,153.37968080093964
72,153.13071393557925
73,154.34044929862938
74,154.03533826486853
75,154.95378442397413
76,155.32725355599368
77,153.9272931389861
78,154.29440730651734
79,155.1049418628893
80,154.490508283594
81,154.94446225144236
82,153.40908645258068
83,153.17683192894674
84,151.84621746902138
85,153.38127114593937
86,152.87799093379738
87,154.46820283540848
88,154.61143120978622
89,153.73338674906586
90,153.65168371540165
91,153.8516680127583
92,153.46676239612773
93,152.25618384137744
94,151.32376464295817
95,151.44702327732665
96,152.19999089835494
97,152.49975897793672
98,152.15968866467244
99,151.82911567069317
100,150.9115620202116
101,152.21464166078363
102,152.4995532572771
103,152.2218231546343
104,151.22632578671005
105,151.0946431893707
106,151.43855270210565
107,151.35619485076126
108,151.70588067001512
109,152.3041269723908
110,151.79567740263684
111,151.95588161345455
112,151.21907659794738
113,151.44803441120632
114,151.61114136152958
115,151.22038406299953
116,151.51343237080798
117,150.34701448116573
118,151.8927041445987
