alpha,rigidity_min,collapse_generation
0.005,0.005025125628140704,201.0
0.005818030050083472,0.005852077613494202,301.0
0.006636060100166945,0.006680391580185707,301.0
0.007454090150250417,0.007510070895742051,301.0
0.00827212020033389,0.008341118938800931,301.0
0.009090150250417362,0.009173539099156776,301.0
0.009908180300500835,0.010007334777806817,301.0
0.010726210350584308,0.010842509386997427,301.0
0.01154424040066778,0.011679066350270653,301.0
0.01236227045075125,0.012517009102511006,301.0
0.013180300500834723,0.01335634108999247,301.0
0.013998330550918196,0.01419706577042574,301.0
0.01481636060100167,0.015039186613005719,301.0
0.015634390651085142,0.015882707098459216,301.0
0.016452420701168615,0.016727630719092924,301.0
0.017270450751252085,0.017573960978841594,301.0
0.018088480801335557,0.0184217013933165,301.0
0.01890651085141903,0.019270855489854084,301.0
0.019724540901502503,0.02012142680756491,301.0
0.020542570951585976,0.020973418897382797,301.0
0.02136060100166945,0.02182683532211428,301.0
0.022178631051752922,0.022681679656488225,301.0
0.022996661101836395,0.02353795548720578,301.0
0.023814691151919865,0.009113214160524697,301.0
0.024632721202003337,0.025254816044638806,301.0
0.02545075125208681,0.02611540800507062,301.0
0.026268781302170283,0.026977445929380298,301.0
0.027086811352253756,0.02784093346488782,301.0
0.02790484140233723,0.028705874271190222,301.0
0.0287228714524207,0.029572272020213303,301.0
0.02954090150250417,0.030440130396263577,301.0
0.030358931552587645,0.031309453096080506,301.0
0.031176961602671117,0.03218024382888898,301.0
0.03199499165275459,0.03305250631645209,301.0
0.03281302170283806,0.03392624429312413,301.0
0.03363105175292153,0.034801461505903894,301.0
0.034449081803005,0.028349890961958488,301.0
0.03526711185308848,0.03655634869132598,301.0
0.03608514190317195,0.03743602622167184,301.0
0.03690317195325542,0.03831719810364104,301.0
0.037721202003338894,0.0391998681482638,301.0
0.03853923205342236,0.04008404017954038,301.0
0.03935726210350584,0.04096971803449624,301.0
0.04017529215358931,0.041856905563237574,301.0
0.040993322203672786,0.04274560662900713,301.0
0.041811352253756255,0.0392609699770738,301.0
0.042629382303839725,0.04452756489062104,301.0
0.0434474123539232,0.01633045148895266,301.0
0.04426544240400667,0.04631562399014821,301.0
0.04508347245409015,0.04721195115341917,301.0
0.045901502504173616,0.04810981531220199,301.0
0.04671953255425709,0.04900922042328135,301.0
0.04753756260434056,0.035996488147497396,301.0
0.04835559265442403,0.050812669397493126,301.0
0.04917362270450751,0.02474747474746206,301.0
0.04999165275459098,0.003339455668727312,301.0
0.050809682804674454,0.05352949970539868,301.0
0.05162771285475792,0.05443823438806495,301.0
0.05244574290484139,0.055348538104424874,301.0
0.05326377295492487,0.05626041492166215,301.0
0.05408180300500834,0.03726143592848702,301.0
0.054899833055091815,0.05808890419791032,301.0
0.055717863105175285,0.05243445692883471,301.0
0.05653589315525876,0.05992373503676112,301.0
0.05735392320534223,0.06084353886070008,301.0
0.0581719532554257,0.061764940486213886,301.0
0.058989983305509176,0.0479694354039872,301.0
0.059808013355592646,0.06361255382429971,301.0
0.06062604340567612,0.021520021792414776,301.0
0.06144407345575959,0.06546660856108645,301.0
0.06226210350584307,0.061134200294944804,301.0
0.06308013355592654,0.06732713844070454,301.0
0.06389816360601001,0.06825984216862098,301.0
0.06471619365609349,0.06919417744339429,301.0
0.06553422370617695,0.07013014854978605,301.0
0.06635225375626043,0.06456953642347721,301.0
0.0671702838063439,0.07200701547162044,301.0
0.06798831385642738,0.07294791993193318,301.0
0.06880634390651084,0.04701627486427384,301.0
0.06962437395659432,0.07483469257753972,301.0
0.0704424040066778,0.0757805694991963,301.0
0.07126043405676127,0.03303268126976435,301.0
0.07207846410684474,0.07767732649664912,301.0
0.07289649415692821,0.0786282154015144,301.0
0.07371452420701169,0.079580783822509,301.0
0.07453255425709515,0.040951122853293914,301.0
0.07535058430717863,0.08149097704314229,301.0
0.0761686143572621,0.08244861079737971,301.0
0.07698664440734558,0.010734034479019392,301.0
0.07780467445742904,0.08436897509934013,301.0
0.07862270450751252,0.0853317146972758,301.0
0.079440734557596,0.06654991243405749,301.0
0.08025876460767946,0.0872623315333303,301.0
0.08107679465776294,0.005856966707755094,301.0
0.08189482470784641,0.08919982907381648,301.0
0.08271285475792989,0.09001917448783865,301.0
0.08353088480801335,0.028380133906263517,301.0
0.08434891485809683,0.07876712328757539,301.0
0.0851669449081803,0.09309561393103827,301.0
0.08598497495826377,0.0940739184832738,301.0
0.08680300500834724,0.07817408981703874,301.0
0.08762103505843072,0.0960357904174634,301.0
0.0884390651085142,0.07831325301187984,301.0
