model,c1_even,c2_odd,ratio_c2_c1,parity_odd_channel
QED,5.3251354520432896e-05,9.318987041075757e-05,1.75,OPEN (7/4)
IST,0.00278734065357504,0.0,0.0,FORBIDDEN (0.000)
