model,H0,Om,z_c,w,chi2,D_eff(0),D_eff(high z)
LCDM,70.0,0.26,nan,nan,22.970629931151187,3.0,3.0
crystallization,67.0,0.34,4.0,1.0,22.51965036408018,2.9820137900379082,2.0024726231566348
