relation,target,observed,pct,pass
split (Sig-Lam)/(Xi-Lam),0.38196601125010515,0.3823785879046932,0.10801397046762418,True
gap (Xi-Sig)/(Sig-Lam),1.618033988749895,1.615209197459684,0.1745817028474983,True
predict Sigma,1193.1536666666666,1193.0700778112937,0.007005707454799115,True
predict Xi,1318.2849999999999,1318.5038384644467,0.016600239284136897,True
GMO sum rule,1135.0506666666665,1128.6018771699999,0.5681499237038423,True
competitor split=0.3750,0.375,0.3823785879046932,1.9676234412515203,False
competitor split=0.3800,0.38,0.3823785879046932,0.6259441854455705,False
competitor split=0.3820,0.38196601125010515,0.3823785879046932,0.10801397046762418,False
competitor split=0.3846,0.38461538461538464,0.3823785879046932,0.581567144779771,False
competitor split=0.3810,0.38095238095238093,0.3823785879046932,0.374379324981966,False
competitor split=0.3900,0.39,0.3823785879046932,1.9542082295658458,False
competitor split=0.4000,0.4,0.3823785879046932,4.405353023826708,False
basin width (0.5%),0.38196601125010515,0.00381999999999999,nan,True
