N,twist_fraction,naive_chi_unique,naive_chi_mean,naive_chi_std
210,0.44734563681932105,2,0.10530872636135793,0.9944395769236805
360,0.4465026307644692,2,0.10699473847106158,0.9942595867978892
480,0.44558977035490605,2,0.1088204592901879,0.9940614204564386
