level,N,D_eff,r2
0,480,2.157804344441878,0.9967704199218421
1,240,2.252126391719032,0.9961844209719232
2,120,2.293774318536104,0.995109796424926
3,60,2.217670937678769,0.9943393135888245
4,30,2.170936998215144,0.9924617899032867
