N,D_eff_naive,D_eff_locus,contrast
1,2.0,2.0,0.0
2,4.0,2.668455702151107,1.3315442978488932
3,6.0,3.026527731767683,2.973472268232317
4,8.0,3.1369726011923547,4.863027398807645
5,10.0,3.098791842194602,6.901208157805398
6,12.0,3.2260179531130597,8.77398204688694
