radius,threads_passing,shell_area,density,r_pred
1.0,1000,12.566370614359172,79.57747154594767,1.0
2.0,1000,50.26548245743669,19.89436788648692,0.25
3.0,1000,113.09733552923255,8.841941282883074,0.1111111111111111
4.0,1000,201.06192982974676,4.97359197162173,0.0625
5.0,1000,314.1592653589793,3.1830988618379066,0.04
6.0,1000,452.3893421169302,2.2104853207207684,0.027777777777777776
7.0,1000,615.7521601035994,1.6240300315499525,0.02040816326530612
8.0,1000,804.247719318987,1.2433979929054324,0.015625
9.0,1000,1017.8760197630929,0.9824379203203416,0.012345679012345678
10.0,1000,1256.6370614359173,0.7957747154594766,0.01
11.0,1000,1520.53084433746,0.6576650540987411,0.008264462809917356
12.0,1000,1809.5573684677208,0.5526213301801921,0.006944444444444444
13.0,1000,2123.7166338267,0.4708726126979152,0.005917159763313609
14.0,1000,2463.0086404143976,0.40600750788748813,0.00510204081632653
15.0,1000,2827.4333882308138,0.35367765131532297,0.0044444444444444444
16.0,1000,3216.990877275948,0.3108494982263581,0.00390625
17.0,1000,3631.681107549801,0.27535457282334835,0.0034602076124567475
18.0,1000,4071.5040790523717,0.2456094800800854,0.0030864197530864196
19.0,1000,4536.459791783661,0.22043620926855312,0.002770083102493075
20.0,1000,5026.548245743669,0.19894367886486916,0.0025
21.0,1000,5541.769440932395,0.18044778128332806,0.0022675736961451248
22.0,1000,6082.12337734984,0.16441626352468527,0.002066115702479339
23.0,1000,6647.610054996002,0.15043000292239636,0.001890359168241966
24.0,1000,7238.229473870883,0.13815533254504803,0.001736111111111111
25.0,1000,7853.981633974483,0.12732395447351627,0.0016
26.0,1000,8494.8665353068,0.1177181531744788,0.0014792899408284023
27.0,1000,9160.884177867836,0.10915976892448241,0.0013717421124828531
28.0,1000,9852.03456165759,0.10150187697187203,0.0012755102040816326
29.0,1000,10568.317686676064,0.09462243941254182,0.0011890606420927466
30.0,1000,11309.733552923255,0.08841941282883074,0.0011111111111111111
31.0,1000,12076.282160399165,0.08280694229547104,0.001040582726326743
32.0,1000,12867.963509103793,0.07771237455658953,0.0009765625
33.0,1000,13684.77759903714,0.07307389489986012,0.0009182736455463728
34.0,1000,14526.724430199203,0.06883864320583709,0.0008650519031141869
35.0,1000,15393.804002589986,0.0649612012619981,0.0008163265306122449
36.0,1000,16286.016316209487,0.06140237002002135,0.0007716049382716049
37.0,1000,17203.36137105771,0.058128174978778424,0.0007304601899196494
38.0,1000,18145.839167134644,0.05510905231713828,0.0006925207756232687
39.0,1000,19113.4497044403,0.05231917918865725,0.0006574621959237344
40.0,1000,20106.192982974677,0.04973591971621729,0.000625
