form,delta_n_pred,delta_n_obs,residual,sigma,m_n_pred_GeV,m_n_obs_GeV,accuracy_percent
naive alpha/phi^2,0.00278734065357504,0.0013784193053598681,0.001408921348215172,17414491.176636036,0.940887372095443,0.93956542052,99.85930180628493
factor-2 alpha/(2 phi^2),0.00139367032678752,0.0013784193053598681,1.525102142765195e-05,188505.04211819993,0.9395797301277216,0.93956542052,99.99847699719369
exact (1 - c alpha) form,0.0013784193070285175,0.0013784193053598681,1.668649376659892e-12,0.020624770774858782,0.9395654205215657,0.93956542052,99.99999999983336
