M_MeV,R,E_VR_keV
0.4,139.41177465282638,0.2540806120490446
0.4303687123039797,104.03432605210966,0.29412566741860824
0.4630430713254642,77.63433916589359,0.3404821309929111
0.4981981258690497,57.93367291778387,0.3941447291659914
0.5360222147562973,43.232292485581745,0.4562649648494098
0.5767179758274874,32.26156774508856,0.5281758266551893
0.6205034315485837,24.074799034033543,0.6114203924357119
0.6676131570394115,17.96552334681066,0.7077849409611316
0.7182995367806153,13.40655133480144,0.819337282251387
0.7728341167320463,10.004474415969304,0.9484711290628521
0.8315090591063857,7.465716263657352,1.0979574616619843
0.8946387075917727,5.571199146700768,1.27100398808169
0.9625612714089196,4.157438996616002,1.4713239757706482
1.0356406372248457,3.102437833481347,1.703215931639085
1.1142683186303246,2.315156161870546,1.9716558402915592
1.1988655536251336,1.727656875507021,2.2824039397134817
1.2898855613481162,1.2892427425176787,2.6421283256256745
1.387815970142212,0.9620815757450154,3.0585480368342957
1.4931814299625052,0.7179415697779812,3.540598691930553
1.6065464231229463,0.5357550862733504,4.098624231606111
1.7285182884399672,0.3998006586476509,4.744598881029661
1.8597504749744698,0.29834633538792416,5.492384095198339
2.000946042803693,0.2226372916455095,6.358026000849424
2.152861429577923,0.1661403468113587,7.360099717501188
2.3163105030408895,0.12398019502747244,8.520107946133582
2.4921689212247276,0.09251869912431901,9.862942378505464
2.6813788236787106,0.06904094388429978,11.41741782812312
2.8849538788644167,0.05152095714218806,13.216890544350601
3.103984714758127,0.038446882031269586,15.299973977571478
3.339644761754227,0.028690513917412525,17.71136735443594
3.593196539172245,0.02140994393708602,20.50281484292895
3.8659984190466883,0.015976907932310287,23.734215889217825
4.159511903435861,0.011922571484895787,27.47491055211264
4.475309454236919,0.008897072663539795,31.80516741610662
4.815082917454422,0.006639331295315709,36.81790601093644
5.180652587054375,0.004954519505005423,42.62069069769072
5.573976956962181,0.003697249381545129,49.33803880667837
5.9971632134496735,0.0027590269804217598,57.11409255554825
6.4524785241228315,0.0020588900269188698,66.11571208221969
6.942362183989568,0.001536421417052607,76.5360559635528
7.469438683678585,0.0011465356283796133,88.59872605125271
8.036531769820717,0.0008555881430405906,102.5625655657387
8.646679572919416,0.0006384721524495642,118.72721340644745
9.303150883756132,0.00047645200879582733,137.439533864088
10.009462665529394,0.0003555464648139228,159.10105970491867
10.769398895546617,0.00026532218630197777,184.17660834225404
11.587030837410751,0.00019799342564382809,213.20425598276114
12.466738852307412,0.00014775016422320967,246.8068837747951
13.41323586624384,0.00011025674694500058,285.7055437183701
14.431592618962299,8.227774439917847e-05,330.73493114516464
15.52726482979606,6.139875709187615e-05,382.86129578018245
16.70612242600551,4.581806902894207e-05,443.2031757242569
17.97448099018156,3.419117175938196e-05,513.0553992713975
19.33913559519201,2.551474235068928e-05,593.916869596851
20.80739720793711,1.9040063376693857e-05,687.5227285253279
22.3871318569433,1.4208413645953399e-05,795.8815895560782
24.086802773630232,1.0602854325665022e-05,921.3186390985979
25.915515733017905,7.912249928287504e-06,1066.5255307940274
27.883067836781112,5.904419414322081e-06,1234.6181435647186
29.999999999999996,4.406100532237481e-06,1429.2034427758747
