quantity,ratio,best_harmonic,harmonic_value,pct_off,tier
em_over_weak,4.33735593220339,phi^3,4.23606797749979,-2.335246548515224,A-couplings
weak_over_strong,3.482880755608028,phi^3,4.23606797749979,21.625409387875337,A-couplings
em_over_strong,15.106493506493505,phi^6,17.944271909999163,18.785156213027477,A-couplings
|b3|/|b1|,1.707317073170732,phi^1,1.618033988749895,-5.229437801791881,B-beta
|b2|/|b1|,0.7723577235772358,phi^1,1.618033988749895,109.49282170130216,B-beta
|b3|/|b2|,2.210526315789474,phi^2,2.618033988749895,18.43487091963809,B-beta
