step,total_info,golden_frac,entropy,twist_corr,patterns
1661,14934.528481930241,0.126617431640625,9.183042421537392,-0.08125029573068042,163
1681,14857.999250062367,0.12646484375,9.180068479988064,-0.08389488740304135,162
1701,14843.691717650378,0.12646484375,9.180109113209603,-0.09955235784676725,163
1721,14821.185595901148,0.126251220703125,9.178346543299433,-0.10161352806816623,173
1741,14807.507517956681,0.126434326171875,9.17878523964442,-0.09441174165956603,175
1761,14762.578522676537,0.125885009765625,9.17876574428502,-0.09795026009702412,171
1781,14706.775478790254,0.12554931640625,9.176257130148672,-0.1004721113769438,170
1801,14697.082934910704,0.12554931640625,9.176203100570149,-0.09820661363518363,174
1821,14665.08701743952,0.125335693359375,9.174619683955212,-0.09695444176757358,177
1841,14678.343583259842,0.125396728515625,9.174349219285581,-0.08551091802164443,177
1861,14614.19485760377,0.12506103515625,9.173352590533058,-0.10442945658849336,179
1881,14583.29694604337,0.124725341796875,9.17125722537002,-0.09913209190303825,180
1901,14587.638147357378,0.1246337890625,9.172239472540532,-0.08864027161937875,181
1921,14518.805980413648,0.124237060546875,9.16975045973018,-0.08218080333730265,187
1941,14484.756563393337,0.12396240234375,9.16774094257303,-0.09788323143857589,190
1961,14422.205053460042,0.123870849609375,9.167700263899166,-0.08872837624855953,191
1981,14390.106499688678,0.123565673828125,9.165141185960522,-0.09177601767389262,187
2001,14376.782384998969,0.123504638671875,9.165201268925493,-0.09944926117085019,197
2021,14315.216504213546,0.12322998046875,9.162211254187167,-0.1002792749341268,193
2041,14285.094383615618,0.12274169921875,9.16161797186195,-0.07919641197245053,198
2061,14255.234093407507,0.122528076171875,9.160059077554639,-0.08498974994381439,199
2081,14201.960439644019,0.122222900390625,9.159295064376433,-0.10191981489159867,205
2101,14127.199854673649,0.121826171875,9.157942540490641,-0.10320636901581552,203
2121,14082.061848986534,0.121429443359375,9.156220204341988,-0.11063251200756112,207
2141,14005.437602125157,0.121124267578125,9.152626144474425,-0.10871091152274936,207
2161,13962.525105572506,0.12091064453125,9.151439566667179,-0.11771075225460155,205
2181,13967.759543372478,0.120849609375,9.151603800102428,-0.10973560054080711,213
2201,13927.755341941884,0.12060546875,9.149900826711455,-0.10689737169614767,211
2221,13914.614252108411,0.120574951171875,9.148792221843262,-0.1183165325053803,211
2241,13890.778984947803,0.1204833984375,9.149160801526474,-0.12281751663143847,214
2261,13907.662607400649,0.12054443359375,9.14941954069358,-0.12622711024708558,211
2281,13881.998514094783,0.120269775390625,9.14781308756046,-0.10954239992301813,211
2301,13847.669197166097,0.120147705078125,9.147340187320857,-0.1144575037785639,216
2321,13838.219585819648,0.119964599609375,9.146600885712711,-0.12107075953791938,208
2341,13835.117567806421,0.119903564453125,9.147343447372243,-0.128008974082185,214
2361,13778.168134832245,0.11968994140625,9.145202182643494,-0.13024099237982176,216
2381,13748.238193946454,0.11944580078125,9.14320256183202,-0.1286563421889868,221
2401,13712.91681619229,0.1192626953125,9.14267273241996,-0.13125531143589178,217
2421,13687.50505849572,0.119110107421875,9.142851792129054,-0.13528560377576948,221
2441,13664.13403023564,0.118804931640625,9.141902078391677,-0.13988443670304554,224
2461,13627.990926858334,0.1187744140625,9.141689608272458,-0.12685903382072447,229
2481,13600.900425774085,0.11846923828125,9.138808373522888,-0.12961234509456213,227
