cycle,min_gap,max_gap,ratio,dev_from_target
0,0.0010955910526142532,4.358594794065768,0.00025136336465732067,-0.38171464788544784
1,0.0012393717165668505,4.342643199719637,0.00028539570477419487,-0.38168061554533095
2,0.0011624958284914833,4.320943449557419,0.0002690375011990852,-0.38169697374890604
3,0.00109161686180137,4.284724150632317,0.0002547694608625563,-0.3817112417892426
4,0.0010185161066482706,4.302127159257451,0.00023674709485436662,-0.38172926415525077
5,0.0010580750830939678,4.29431716073464,0.0002463895989724616,-0.3817196216511327
6,0.0010604556353159822,4.285336178001682,0.00024746148056241623,-0.3817185497695427
7,0.001101208023948974,4.303738805017588,0.00025587241090586443,-0.3817101388391993
8,0.0010040484646047787,4.352344860740978,0.00023069138515688335,-0.3817353198649483
9,0.001013730248448752,4.287126317130664,0.00023645915082978774,-0.38172955209927534
10,0.001190256015688007,4.286441669956455,0.0002776792751037479,-0.3816883319750014
11,0.0010986716391880869,4.297576162959921,0.0002556491374503961,-0.38171036211265474
12,0.0011813107412890211,4.286860429126328,0.0002755654775375495,-0.3816904457725676
13,0.001006112720691732,4.290509527769478,0.00023449725823468414,-0.38173151399187044
14,0.0010091607604922892,4.313891185218614,0.00023393282703795142,-0.3817320784230672
15,0.0010762157610328948,4.2953262252109745,0.00025055506953491853,-0.38171545618057023
16,0.0010622771592001534,4.286185957945183,0.00024783739427614894,-0.381718173855829
17,0.0010021421163970423,4.306736154303888,0.0002326917834043683,-0.3817333194667008
18,0.001076502573318816,4.3266098398176345,0.00024880971780995867,-0.3817172015322952
19,0.0011667114980786764,4.285839680623869,0.00027222471791311703,-0.38169378653219205
20,0.001154352705047934,4.290924295074055,0.0002690219229393353,-0.38169698932716584
21,0.0011681064230089078,4.340275839377182,0.00026913184005754987,-0.3816968794100476
22,0.001097447304594823,4.285669386811342,0.00025607372047225385,-0.3817099375296329
23,0.0014977614496647362,4.286956415328792,0.00034937641173799156,-0.38161663483836716
24,0.001032689729661751,4.293829676243757,0.00024050551780739198,-0.38172550573229774
25,0.0011611206959276643,4.299239586952319,0.00027007582909580746,-0.3816959354210093
26,0.0010711976755723995,4.287610729768334,0.0002498355711574306,-0.3817161756789477
27,0.0012069619641783547,4.3086115839446775,0.0002801278185937895,-0.3816858834315114
28,0.0010956030299906772,4.290116857608645,0.000255378365288021,-0.38171063288481716
29,0.0013486919340315318,4.286630880045747,0.0003146274945924755,-0.38165138375551266
30,0.001067865395881995,4.291680610800032,0.0002488221964129174,-0.38171718905369223
31,0.0010858484206055508,4.32093644949509,0.0002512993267309993,-0.38171471192337414
32,0.0010540923574469119,4.284587135824994,0.0002460195869593272,-0.38171999166314585
33,0.0010921211041474699,4.294189511076361,0.0002543253159485558,-0.3817116859341566
34,0.0010032526056371616,4.296323395761603,0.00023351421976913736,-0.381732497030336
35,0.0010550474493893347,4.285302771206709,0.00024620137845994983,-0.3817198098716452
36,0.0011627446395205965,4.288738745254947,0.00027111575420793704,-0.3816948954958972
37,0.0011725061817435822,4.304805718716867,0.0002723714514329048,-0.38169363979867227
38,0.0011026938044160772,4.2870606878374184,0.0002572144144225596,-0.3817087968356826
39,0.0010415548359858917,4.285802208729485,0.00024302447599294555,-0.3817229867741122
40,0.0010235613252942422,4.288664394890558,0.00023866668758546267,-0.38172734456251967
41,0.001154864336347039,4.297162845825465,0.0002687504238916491,-0.3816972608262135
42,0.0011045297427907386,4.28491871603252,0.00025777145752100563,-0.38170823979258417
43,0.0010447714107852946,4.300275768588796,0.00024295451431668368,-0.3817230567357885
44,0.0010300722264791062,4.294168693735421,0.00023987698200628088,-0.38172613426809887
45,0.0011044873157430857,4.284786000996956,0.00025776953982908386,-0.38170824171027606
46,0.001152829693320978,4.295711423965981,0.0002683675832806844,-0.38169764366682446
47,0.0010970442511766265,4.3238012146575535,0.00025372217563048,-0.3817122890744747
48,0.0010974326281667501,4.287076033314463,0.00025598627587630936,-0.38171002497422885
49,0.0013461297713748266,4.286502926302389,0.0003140391583812638,-0.3816519720917239
