lattice,mean_abs_trace,mean_dev_from_flat,knot_fraction_im,trace_in_bounds
fibonacci,1.7846912524014076,0.21530874759859236,0.655,1.0
random,1.8502582158890788,0.14974178411092112,0.725,1.0
rational,1.962125037391832,0.03787496260816797,0.905,1.0
