flip,mask,null_mean,null_std,recovery_shift,shift_over_injected,detection_sigma
klein,|b|>20,0.03772065634141765,0.09743980117255367,0.004944474199280497,0.9888948398560995,0.05074388637682515
klein,|b|>30,0.04521080576231574,0.10809143641287519,0.0049302504333089605,0.9860500866617921,0.045611850456653745
klein,|b|>40,0.05192121133425511,0.11895979039384412,0.004914506189611237,0.9829012379222474,0.041312330606338654
antipodal,|b|>20,0.07710739624616364,0.10606622506266586,0.0049121458004493,0.98242916008986,0.04631206397274076
antipodal,|b|>30,0.07542166862002199,0.11781665159350178,0.004900335857939915,0.980067171587983,0.04159289702823463
antipodal,|b|>40,0.07286071127992473,0.12955957079761415,0.004887792338563175,0.977558467712635,0.037726215890282834
